
la caja | cash register
el (dinero en) efectivo | cash
el número | size (shoes)
el probador | fitting room
la tarjeta de crédito | credit card
las telas | fabrics
el algodón | cotton
la lana | wool
el lino | linen
la mezclilla | denim
la piel | leather
la seda | silk
a cuadros | checkered
a rayas | striped
de lunares | polka-dotted
estampado(a) | patterned
liso(a) | plain
ahorrar | to save (money)
elegir (i) | to choose
hacer juego | to match
probarse (ue) | to try on
quedar | to fit
apretado(a) | tight
barato(a) | cheap
caro(a) | expensive
cómodo(a) | comfortable
de marca | branded
(estar) a la moda | to be in style
(estar) rebajado(a) | to be on sale
(extra) grande | extra large
hecho(a) a mano | handmade
liso(a) | plain
mediano(a) | medium
pequeño(a) | small
¡Qué bien te queda esa falda! | That skirt looks great on you!
¡Qué caros! | How expensive!
¡Qué color tan bonito! | What a beautiful color!
¡Qué lindos zapatos! | What beautiful shoes!
¡Qué pantalones tan elegantes! | What elegant pants!
mayor | older/greater
mejor | better
menor | younger/lesser
peor | worse
el descuento | discount
la oferta | sale
por ciento | percent
la prenda | garment
la talla | size (clothes)
la venta | sale
el arte abstracto | abstract art
el (la) artista | artist
el autorretrato | self-portrait
la escultura | sculpture
la exhibición | exhibition
la galería | gallery
el grabado | engraving
la luz | light
la máscara | mask
el (la) modelo | model
el mural | mural
la naturaleza muerta | still life
la obra | work of art
el óleo | oil painting
el paisaje | landscape
la paleta | palette
el pincel | paintbrush
la pintura | painting
el retrato | portrait
la tinta | ink
acabar | to finish
apagar | to turn off
apreciar | to appreciate
descomponer | to break down
diseñar | to design
esculpir | to sculpt
exhibir | to exhibit
olvidar | to forget
pintar | to paint
posar | to pose
quedar | to stay
romper | to break
abstracto(a) | abstract
claro(a) | light
complicado(a) | complicated
cubista | cubist
extraño(a) | strange
impresionista | impressionist
obscuro(a) | dark
realista | realistic
sencillo(a) | simple
surrealista | surrealist
tradicional | traditional
vanguardista | avant-garde
