
el aeropuerto | airport
el banco | bank
el bar | bar
el café | café
la calle | street
el centro comercial | shopping center
el cine | cinema
el club | club
el correo | post office
el edificio | building
la escuela | school
la farmacia | pharmacy
el hospital | hospital
el hotel | hotel
la iglesia | church
el mercado | market
la mezquita | mosque
el museo | museum
el negocio | business
la oficina | office
el parque | park
la piscina | pool
la playa | beach
la plaza | plaza
el restaurante | restaurant
la sinagoga | synagogue
el supermercado | supermarket
el teatro | theater
el templo | temple
la tienda | store
el zoológico | zoo
almorzar (ue) | to have lunch
costar (ue) | to cost
depositar | to deposit
devolver (ue) | to return (something)
dormir (ue) | to sleep
encontrar (ue) | to find
estar | to be
jugar (ue) | to play
llover (ue) | to rain
mandar una carta/un paquete | to send a letter/a package
morir (ue) | to die
poder (ue) | to be able to
rezar | to pray
soñar (ue) (con) | to dream (about)
volver (ue) | to return
la carta | letter
la comida | food
el dinero | money
el paquete | package
la película | movie
a la derecha de | to the right of
a la izquierda de | to the left of
al lado de | next to
cerca de | near
debajo de | under
dentro de | inside
detrás de | behind
en | in/on
encima de | on top of
enfrente de | in front of
entre | between
fuera de | outside of
lejos de | far from
el baño | bathroom
la cochera | garage
la cocina | kitchen
el comedor | dining room
el dormitorio | bedroom
el jardín | garden
el patio | patio
la sala | living room
la alfombra | rug
el armario | closet
la bañera | bathtub
la cafetera | coffee maker
la cama | bed
las cortinas | curtains
el cuadro | painting
la ducha | shower
el espejo | mirror
la estufa | stove
la flor | flower
el fregadero | sink
el horno | oven
el (horno de) microondas | microwave
el inodoro | toilet
la lámpara | lamp
el lavabo | sink
la lavadora | washing machine
el lavaplatos | dishwasher
la mesita | small table
las plantas | plants
el refrigerador | refrigerator
la secadora | dryer
el sillón | armchair
el sofá | sofa
alquilar | to rent
cerrar (ie) | to close
comenzar (ie) (a) | to begin (to)
competir (i) | to compete
empezar (ie) (a) | to begin (to)
encender | to turn on
entender (ie) | to understand
mentir (ie) | to lie
nevar (ie) | to snow
pedir (i) | to ask for
pensar (ie) | to think
perder | to lose
preferir (ie) | to prefer
reír (i) | to laugh
repetir (i) | to repeat
querer (ie) | to want
servir (i) | to serve
sonreír (i) | to smile
el apartamento | apartment
la dirección | address
la habitación | room
el mueble | piece of furniture
la planta baja | ground floor
el (primer) piso | (first) floor
¿adónde? | where to?
¿cómo? | how?
¿cuál(es)? | which?
¿cuándo? | when?
¿cuánto(a)? | how much?
¿cuántos(as)? | how many?
¿de dónde? | from where?
¿dónde? | where?
¿por qué? | why?
¿qué? | what?
¿quién(es)? | who?
